title,brand,model,type,year,transmisi,qty,avg_price,low_price,mid_price,new_price,price_per_mile,m_mile
Toyota Kijang Innova G Automatic 2020,Toyota,Kijang Innova,G,2020,Automatic,154," 269,454,545 "," 200,000,000 "," 234,727,273 ",355050000," 2,343.89 ",66150.66883
Nissan Livina VL Automatic 2022,Nissan,Livina,VL,2022,Automatic,45," 207,911,111 "," 189,000,000 "," 198,455,556 ",308800000," 4,615.58 ",25955.55556
Honda Brio Satya E Automatic 2022,Honda,Brio,Satya E,2022,Automatic,126," 157,300,397 "," 140,000,000 "," 148,650,198 ",189700000," 1,462.41 ",33985.03968
Honda HR-V Prestige Automatic 2015,Honda,HR-V,Prestige,2015,Automatic,45," 216,533,333 "," 185,000,000 "," 200,766,667 "," 355,000,000 "," 2,174.84 ",78166.66667
Hyundai Creta Prime Automatic 2022,Hyundai,Creta,Prime,2022,Automatic,223," 271,935,426 "," 220,000,000 "," 245,967,713 ",399000000," 4,698.51 ",38097.20179
Mazda CX-5 Elite Automatic 2022,Mazda,CX-5,Elite,2022,Automatic,48," 403,979,167 "," 329,000,000 "," 366,489,583 ",597700000," 10,037.04 ",26770.83333
Honda HR-V Turbo RS Automatic 2022,Honda,HR-V,Turbo RS,2022,Automatic,83," 362,650,602 "," 332,000,000 "," 347,325,301 ",513900000," 5,953.53 ",30553.28916
Hyundai IONIQ 5 Signature Long Range Automatic 2023,Hyundai,IONIQ 5,Signature Long Range,2023,Automatic,83," 502,722,892 "," 429,000,000 "," 465,861,446 ",859000000," 17,058.41 ",25207.50602
Honda HR-V E Automatic 2015,Honda,HR-V,E,2015,Automatic,52," 182,875,000 "," 158,000,000 "," 170,437,500 "," 294,000,000 "," 1,513.21 ",89875
Honda CR-V Turbo Prestige Automatic 2018,Honda,CR-V,Turbo Prestige,2018,Automatic,98," 325,717,347 "," 268,000,000 "," 296,858,673 ",516000000," 3,502.86 ",70799.20408
Toyota Fortuner VRZ 4X2 Automatic 2016,Toyota,Fortuner,VRZ 4X2,2016,Automatic,49," 327,897,959 "," 200,000,000 "," 263,948,980 "," 494,000,000 "," 3,419.71 ",85972.22449
Toyota Avanza G Automatic 2023,Toyota,Avanza,G,2023,Automatic,78," 210,384,615 "," 175,000,000 "," 192,692,308 ",262200000," 3,148.16 ",27698.71795
Mercedes-Benz GLC200 AMG Automatic 2018,Mercedes-Benz,GLC200,AMG,2018,Automatic,56," 516,028,571 "," 425,000,000 "," 470,514,286 ",," 12,000.00 ",36660.71429
Mercedes-Benz C300 AMG Line Automatic 2019,Mercedes-Benz,C300,AMG Line,2019,Automatic,94," 606,680,851 "," 448,000,000 "," 527,340,426 ",945000000," 18,921.84 ",26265.94681
Toyota Rush GR Sport Automatic 2022,Toyota,Rush,GR Sport,2022,Automatic,57," 227,131,579 "," 205,000,000 "," 216,065,790 ",291500000," 2,326.80 ",37175.45614
Honda City RS Automatic 2022,Honda,City,RS,2022,Automatic,93," 230,725,806 "," 202,000,000 "," 216,362,903 ",365400000," 6,091.35 ",26824.90323
Toyota Alphard G Automatic 2016,Toyota,Alphard,G,2016,Automatic,55," 561,909,091 "," 468,000,000 "," 514,954,545 "," 954,500,000 "," 6,970.82 ",69790.90909
BMW 530i Luxury Automatic 2018,BMW,530i,Luxury,2018,Automatic,42," 529,333,333 "," 415,000,000 "," 472,166,667 ",1149000000," 23,586.84 ",31119.04762
Honda BR-V Prestige Honda Sensing Automatic 2023,Honda,BR-V,Prestige Honda Sensing,2023,Automatic,50," 244,580,000 "," 155,000,000 "," 199,790,000 ",355000000," 7,280.67 ",27470
Honda City RS Automatic 2021,Honda,City,RS,2021,Automatic,79," 215,822,785 "," 175,000,000 "," 195,411,392 ",352600000," 4,271.64 ",41576.56962
Mercedes-Benz C300 AMG Line Automatic 2023,Mercedes-Benz,C300,AMG Line,2023,Automatic,56," 873,321,429 "," 745,000,000 "," 809,160,714 ",1180000000," 40,532.45 ",10732.14286
Hyundai Stargazer Prime Automatic 2023,Hyundai,Stargazer,Prime,2023,Automatic,124," 219,911,290 "," 188,000,000 "," 203,955,645 ",307100000," 4,992.51 ",23855.73387
Toyota Kijang Innova V Automatic 2022,Toyota,Kijang Innova,V,2022,Automatic,48," 380,531,250 "," 285,500,000 "," 333,015,625 ",445400000," 3,303.51 ",48403.125
Mercedes-Benz C200 AMG Line Automatic 2018,Mercedes-Benz,C200,AMG Line,2018,Automatic,53," 411,830,189 "," 342,000,000 "," 376,915,094 ",," 12,000.00 ",30496.22642
Toyota Alphard G Automatic 2018,Toyota,Alphard,G,2018,Automatic,132," 690,200,758 "," 529,000,000 "," 609,600,379 ",1116350000," 10,781.41 ",54478.0303
Toyota Voxy (Premium Color) Automatic 2023,Toyota,Voxy,(Premium Color),2023,Automatic,48," 464,062,500 "," 390,000,000 "," 427,031,250 ",595700000," 11,388.24 ",18062.5
Toyota Alphard G Automatic 2020,Toyota,Alphard,G,2020,Automatic,87," 818,942,529 "," 648,000,000 "," 733,471,264 ",1193250000," 12,643.06 ",43126.43678
Toyota Avanza G Manual 2021,Toyota,Avanza,G,2021,Manual,103," 168,349,515 "," 148,000,000 "," 158,174,757 ",206700000, 970.25 ,60500.09709
Hyundai Palisade Signature 2WD Automatic 2023,Hyundai,Palisade,Signature 2WD,2023,Automatic,66," 812,757,576 "," 695,000,000 "," 753,878,788 ",1030000000," 21,781.11 ",15380.30303
BMW X5 xDrive40i xLine Automatic 2022,BMW,X5,xDrive40i xLine,2022,Automatic,47," 1,040,042,553 "," 765,000,000 "," 902,521,277 ",1865000000," 50,661.44 ",21712.76596
Mitsubishi Xpander Ultimate Automatic 2022,Mitsubishi,Xpander,Ultimate,2022,Automatic,99," 240,626,263 "," 175,000,000 "," 207,813,131 ",312900000," 3,287.90 ",41941.69697
Toyota Kijang Innova G Automatic 2021,Toyota,Kijang Innova,G,2021,Automatic,119," 296,184,874 "," 249,000,000 "," 272,592,437 ",369700000," 2,099.04 ",57502.52941
Toyota Kijang Innova G Automatic 2019,Toyota,Kijang Innova,G,2019,Automatic,316," 266,596,519 "," 228,000,000 "," 247,298,260 ",348850000," 1,739.06 ",69491.60127
Mercedes-Benz E300 AMG Line Automatic 2017,Mercedes-Benz,E300,AMG Line,2017,Automatic,58," 575,310,345 "," 478,000,000 "," 526,655,172 ",1329000000," 27,862.26 ",30543.10345
Toyota Kijang Innova Zenix Q HV TSS Modellista (Premium Color) Automatic 2023,Toyota,Kijang Innova Zenix,Q HV TSS Modellista (Premium Color),2023,Automatic,71," 510,732,396 "," 425,000,000 "," 467,866,198 ",614000000," 8,152.49 ",23183.09859
BMW 330i M Sport Automatic 2020,BMW,330i,M Sport,2020,Automatic,40," 628,597,500 "," 549,999,999 "," 589,298,749 ",975000000," 16,275.73 ",26112.5
Mazda CX-5 Kuro Edition Automatic 2022,Mazda,CX-5,Kuro Edition,2022,Automatic,48," 457,812,500 "," 354,000,000 "," 405,906,250 ",588800000," 9,268.42 ",25333.33333
Toyota Veloz Q (Non Premium Color) Automatic 2023,Toyota,Veloz,Q (Non Premium Color),2023,Automatic,86," 236,273,256 "," 210,000,000 "," 223,136,628 ",304400000," 3,181.87 ",29668.11628
